,titleID,title,story_author,draw_author,intro,tags,interested_user_cnt,thumbnail
166,797115,옆집남자 친구,꿀삼,꿀삼,"갑자기 소개받은 수상한 비밀 알바,
자신의 아들과 친구로 지내며 감시를 해달라고 한다.
그런데 그 남자가 알고 보니 내 옆집에?!
까칠한 이웃 남자와의 복잡미묘한 캠퍼스 생활이 시작됐다.","['#로맨스', '#현실로맨스', '#캠퍼스로맨스', '#청춘로맨스', '#까칠남']",115825,https://shared-comic.pstatic.net/thumb/webtoon/797115/thumbnail/thumbnail_IMAG21_f23ac6eb-318d-4b13-ace0-ddcf76563967.jpg
167,773797,나 혼자 만렙 뉴비,WAN.Z,스윙뱃,"게임 너튜버로 활동 중인 주인공 진혁은 유일하게 
[시련의 탑]의 엔딩을 봤지만, 게임의 인기가 하락하며 
더 이상 게임 너튜버로서의 삶도 유지하기 힘들어진다.

엔딩을 보았기에 이대로 게임을 마무리하려는 진혁. 
바로 그날, [시련의 탑]은 현실이 되었다.
게임의 모든 요소를 다 알고 있는 진혁은 
누구보다 빠르게 모든 것을 차지한다!

""진짜 고인물이 뭔지 보여주지.""","['#판타지', '#고인물', '#레드아이스 스튜디오', '#사이다', '#게임판타지', '#헌터물', '#먼치킨']",472149,https://shared-comic.pstatic.net/thumb/webtoon/773797/thumbnail/thumbnail_IMAG21_74f87a34-cf6d-4838-8a80-768bdb2f78a9.jpg
168,808389,나혼자 탑에서 농사,임형,이하경,"어느 날 갑자기 도시에 나타난 정체불명의 탑.
사람들은 그곳을 던전이라고 부르기로 했다.
그리고 그곳은 험한 지형과 위험한 몬스터들로 가득했지만
수많은 보물이 기다리는 기회의 땅이기도 하다.
평범한 삶을 살고 있던 청년 세준은 우연한 기회로 
던전에 초대받게 되고 자신도 부자가 될 생각에 기뻤지만 
어딘지 알 수 없는 탑의 숨겨진 공간에 조난당하고 만다.
가진 거라곤 씨앗 몇 개와 몸뚱어리뿐. 
이제 세준은 농사를 짓고, 자원을 수집하며 
자신만의 생존 전략을 모색해야만 한다!","['#판타지', '#무해한', '#햇살캐', '#힐링', '#차원이동', '#동물', '#소설원작']",33402,https://shared-comic.pstatic.net/thumb/webtoon/808389/thumbnail/thumbnail_IMAG21_4a5ab33b-e6fe-4fbe-95b7-bd7fa6a9c156.jpg
169,804653,유사연애,여은,여은,"연애는 싫지만 스킨십은 하고 싶은 솔로 1년차 '윤재'. 윤재네 회사에 누가 봐도 인기 있어 보이는 '민석'이 입사한다. 
윤재에게 따로 술을 먹자고도 하지만 잘들어갔냐는 문자는 없고, 아무렇지 않게 듣기 좋은 말을 해대면서도 선을 긋는 듯한 애매모호한 태도의 민석. 
밥도 먹고 영화도 보고 스킨십도 하지만, 사귀지는 않는 우리는 과연 무슨 사이일까? 30대 우리의 연애 아닌 그 어떤 것.","['#로맨스', '#폭스남', '#고자극로맨스', '#2030연애', '#현실로맨스', '#오피스로맨스']",140610,https://shared-comic.pstatic.net/thumb/webtoon/804653/thumbnail/thumbnail_IMAG21_245d93e8-07c6-4229-9e51-bb813a307610.jpg
170,800770,재벌집 막내아들,JP,김병관,"[화제의 드라마 원작 웹툰!] 
13년 동안의 수고를 배신으로 돌려받다니! 
머슴처럼 살다 버려진 순양그룹의 실장, 윤현우. 
모든 게 끝났다 싶었을 즘, 순양그룹 진 회장의 손주 진도준으로 깨어난다! 
하지만 상속권과는 거리가 먼 재벌집 막내아들 진도준. 
과연 그는 가족 정치극에서 최후의 승자가 될 수 있을 것인가! 
순양그룹을 집어삼키기 위한 윤현우의 통쾌한 복수극이 시작된다!","['#드라마', '#재벌', '#타임슬립', '#드라마&영화 원작웹툰', '#회귀', '#빙의', '#복수극']",259388,https://shared-comic.pstatic.net/thumb/webtoon/800770/thumbnail/thumbnail_IMAG21_d2e1e7ee-fc83-4030-a1e7-200378bc088f.jpg
171,802906,우리 무슨 사이야?,고농,고농,"세희와 연우는 어릴 때 부터 알고 지낸 소꿉친구이지만, 사실 세희는 연우를 짝사랑하고 있다. 
그러나 짝사랑을 시작한 시점 이후로 묘하게 차가워진 연우의 태도. 이에 세희는 가망 없는 짝사랑을 접기로 결심한다.
그런 세희의 앞에 전학생 서진이 나타나고 둘은 점점 가까워지는데…",['#로맨스'],72417,https://shared-comic.pstatic.net/thumb/webtoon/802906/thumbnail/thumbnail_IMAG21_a0759dac-4e68-4ce1-b787-a2a235d1bd37.jpg
172,721948,스터디그룹,신형욱,유승연,"우등생을 꿈꾸는 최강 소년의 고교액션활극.
공부를 잘 하고 싶지만 애석하게도 싸움 실력에만 재능이 몰빵된 고등학생 윤가민.
똥통학교 유성공고에서 스터디그룹을 만드는데….
그와 스터디 멤버들의 (진짜로) 피튀기는 입시이야기!","['#액션', '#블루스트링', '#힘숨찐', '#학원물']",618809,https://shared-comic.pstatic.net/thumb/webtoon/721948/thumbnail/thumbnail_IMAG21_b5efacb7-c212-422f-bc4a-15cf5dc84408.jpg
173,735078,먹지마세요,노도,비버,"달콤한 복숭아 소년(?)
요괴와 귀신들에게 쫓기다.","['#판타지', '#오컬트', '#동양풍판타지', '#인외존재']",39334,https://shared-comic.pstatic.net/thumb/webtoon/735078/thumbnail/thumbnail_IMAG21_bbbfa6c0-bd41-4c59-a7fb-a44776497691.jpg
174,793275,작전명 순정,꼬까리,들덤,"내 남자친구와 절친의 키스를 목격했다. 그것도 하필이면 재수 없는 같은 반 남자애 '고은혁'과 함께.
안 그래도 혼란스러운데.. 사람마다 평생 받을 사랑의 양이 정해져있다고?? 심지어 내가 받을 수 있는 사랑의 양은 '0'???
알거지 운명을 바꿔보려는 수애와, 그런 수애에게 말려든 은혁의 맞바람 작전!
바람피우는 '척'만 하려고 했는데 점점 진짜로 끌린다?! 이 계획... 과연 성공할 수 있을까?","['#로맨스', '#2021 지상최대공모전', '#하이틴']",601220,https://shared-comic.pstatic.net/thumb/webtoon/793275/thumbnail/thumbnail_IMAG21_3631362972329534562.jpg
175,728128,합격시켜주세용,이온,이온,"천년째 용이 되려는 수험생 바리와
전설의 과외선생 찬영이의 낙동강 용 합격 수기",['#판타지'],197686,https://shared-comic.pstatic.net/thumb/webtoon/728128/thumbnail/thumbnail_IMAG21_7089844928995668020.jpg
